order,subset,arm,n,OD,OC,macro
0,remaining_dev,C,1695,86.99856266292116,71.20994968026714,79.10425617159414
0,remaining_dev,C_PER256,1695,85.28204716005233,68.4481337440879,76.86509045207012
0,remaining_dev,C_SENS,1695,86.99856266292116,71.20994968026714,79.10425617159414
0,remaining_dev,C_PCA_GLOBAL,1695,86.9574706808242,71.0032701847969,78.98037043281055
0,remaining_dev,C_PCA_SHUFFLED,1695,86.95821604918342,71.0053225270383,78.98176928811087
0,remaining_dev,C_PCA_REGION,1695,86.96914830806992,71.6110041236752,79.29007621587257
0,legacy_dev,C,128,86.76398755924666,71.8488390958779,79.30641332756228
0,legacy_dev,C_PER256,128,84.7649578421459,69.21840203642452,76.9916799392852
0,legacy_dev,C_SENS,128,86.76398755924666,71.8488390958779,79.30641332756228
0,legacy_dev,C_PCA_GLOBAL,128,86.71215907590306,71.67901084683805,79.19558496137056
0,legacy_dev,C_PCA_SHUFFLED,128,86.71213419057565,71.67769874763901,79.19491646910733
0,legacy_dev,C_PCA_REGION,128,86.72325689045748,72.15190810285387,79.43758249665566
0,p1_extension_dev,C,128,87.53748279860129,71.45671810621926,79.49710045241028
0,p1_extension_dev,C_PER256,128,85.28956492349998,68.85592971569628,77.07274731959812
0,p1_extension_dev,C_SENS,128,87.53748279860129,71.45671810621926,79.49710045241028
0,p1_extension_dev,C_PCA_GLOBAL,128,87.49648199544903,71.32520103507561,79.41084151526232
0,p1_extension_dev,C_PCA_SHUFFLED,128,87.49644358703118,71.32722828362361,79.41183593532739
0,p1_extension_dev,C_PCA_REGION,128,87.47824079920477,71.64954853557404,79.5638946673894
0,all_dev,C,1951,87.08898916901904,71.37107661622292,79.23003289262098
0,all_dev,C_PER256,1951,85.27635958518206,68.90648154782593,77.09142056650398
0,all_dev,C_SENS,1951,87.08898916901904,71.37107661622292,79.23003289262098
0,all_dev,C_PCA_GLOBAL,1951,87.03730696666577,71.19469159914775,79.11599928290676
0,all_dev,C_PCA_SHUFFLED,1951,87.03777920514298,71.19613077491391,79.11695499002843
0,all_dev,C_PCA_REGION,1951,87.04646858063344,71.67301353688833,79.35974105876089
1,remaining_dev,C,1695,86.83668941647338,69.17600665280742,78.00634803464041
1,remaining_dev,C_PER256,1695,85.16318959820197,68.6052844850882,76.88423704164508
1,remaining_dev,C_SENS,1695,86.83668941647338,69.17600665280742,78.00634803464041
1,remaining_dev,C_PCA_GLOBAL,1695,86.75124773799776,69.07355710151575,77.91240241975675
1,remaining_dev,C_PCA_SHUFFLED,1695,86.74496886108383,69.07190127129243,77.90843506618815
1,remaining_dev,C_PCA_REGION,1695,86.74998277539126,68.9931344092129,77.87155859230208
1,legacy_dev,C,128,86.28510018812172,69.55357566299936,77.91933792556054
1,legacy_dev,C_PER256,128,84.61535843746563,69.03853016861524,76.82694430304045
1,legacy_dev,C_SENS,128,86.28510018812172,69.55357566299936,77.91933792556054
1,legacy_dev,C_PCA_GLOBAL,128,86.19928392444481,69.4633219972364,77.83130296084062
1,legacy_dev,C_PCA_SHUFFLED,128,86.19081180946752,69.45637579151068,77.82359380048909
1,legacy_dev,C_PCA_REGION,128,86.19397987699209,69.34929268559947,77.77163628129577
1,p1_extension_dev,C,128,87.16582690388915,69.93768851005623,78.55175770697268
1,p1_extension_dev,C_PER256,128,85.2230390873766,68.92584162032962,77.07444035385312
1,p1_extension_dev,C_SENS,128,87.16582690388915,69.93768851005623,78.55175770697268
1,p1_extension_dev,C_PCA_GLOBAL,128,87.09007404824672,69.81067372371092,78.45037388597882
1,p1_extension_dev,C_PCA_SHUFFLED,128,87.08397090510195,69.80766309349963,78.44581699930079
1,p1_extension_dev,C_PCA_REGION,128,87.0727290422412,69.91184973288269,78.49228938756193
1,all_dev,C,1951,86.86237396183387,69.61992129486642,78.24114762835013
1,all_dev,C_PER256,1951,85.17574648521605,69.02313354290025,77.09944001405816
1,all_dev,C_SENS,1951,86.86237396183387,69.61992129486642,78.24114762835013
1,all_dev,C_PCA_GLOBAL,1951,86.77783031527015,69.5168523506624,78.14734133296628
1,all_dev,C_PCA_SHUFFLED,1951,86.77140236252467,69.51476351020546,78.14308293636506
1,all_dev,C_PCA_REGION,1951,86.77538727882532,69.4487853050693,78.11208629194729
2,remaining_dev,C,1695,86.51297275222866,69.50281985947278,78.00789630585072
2,remaining_dev,C_PER256,1695,85.63670405905316,69.04867232767764,77.34268819336539
2,remaining_dev,C_SENS,1695,86.51297275222866,69.50281985947278,78.00789630585072
2,remaining_dev,C_PCA_GLOBAL,1695,86.44089605010291,69.44685355833488,77.9438748042189
2,remaining_dev,C_PCA_SHUFFLED,1695,86.44348219325197,69.44797327304654,77.94572773314927
2,remaining_dev,C_PCA_REGION,1695,86.42788259374913,69.50923935425459,77.96856097400186
2,legacy_dev,C,128,86.138488722828,69.98563588041023,78.06206230161911
2,legacy_dev,C_PER256,128,85.3189733812709,70.13020134772167,77.72458736449627
2,legacy_dev,C_SENS,128,86.138488722828,69.98563588041023,78.06206230161911
2,legacy_dev,C_PCA_GLOBAL,128,86.05889383512584,69.93186515793371,77.99537949652978
2,legacy_dev,C_PCA_SHUFFLED,128,86.06191110792729,69.93190888447073,77.99690999619901
2,legacy_dev,C_PCA_REGION,128,86.05491926735368,69.95555273245508,78.00523599990437
2,p1_extension_dev,C,128,87.02894366362537,69.96662021469872,78.49778193916205
2,p1_extension_dev,C_PER256,128,85.47979155305975,69.0454865030733,77.26263902806653
2,p1_extension_dev,C_SENS,128,87.02894366362537,69.96662021469872,78.49778193916205
2,p1_extension_dev,C_PCA_GLOBAL,128,86.96463334613941,69.91858870868751,78.44161102741344
2,p1_extension_dev,C_PCA_SHUFFLED,128,86.96691178934691,69.92108930343227,78.44400054638959
2,p1_extension_dev,C_PCA_REGION,128,86.94363811411556,69.95166396238923,78.4476510382524
2,all_dev,C,1951,86.65872917433187,69.85789505448972,78.25831211441078
2,all_dev,C_PER256,1951,85.68553175699833,69.49197437672964,77.58875306686397
2,all_dev,C_SENS,1951,86.65872917433187,69.85789505448972,78.25831211441078
2,all_dev,C_PCA_GLOBAL,1951,86.58605607568197,69.80260204673465,78.19432906120832
2,all_dev,C_PCA_SHUFFLED,1951,86.5886648900937,69.80417385811984,78.19641937410677
2,all_dev,C_PCA_REGION,1951,86.57440599172176,69.83095319200217,78.20267959186197
3,remaining_dev,C,1695,89.04451051847573,69.60777470099708,79.32614260973641
3,remaining_dev,C_PER256,1695,85.32629373096947,68.97986989130538,77.15308181113743
3,remaining_dev,C_SENS,1695,89.04451051847573,69.60777470099708,79.32614260973641
3,remaining_dev,C_PCA_GLOBAL,1695,89.04616862664149,69.41261352103832,79.2293910738399
3,remaining_dev,C_PCA_SHUFFLED,1695,89.0420076893774,69.4055960159472,79.2238018526623
3,remaining_dev,C_PCA_REGION,1695,89.0296113709336,70.94936670438175,79.98948903765768
3,legacy_dev,C,128,88.50926465998882,70.3115436771353,79.41040416856205
3,legacy_dev,C_PER256,128,84.99525873303018,69.9256859177285,77.46047232537936
3,legacy_dev,C_SENS,128,88.50926465998882,70.3115436771353,79.41040416856205
3,legacy_dev,C_PCA_GLOBAL,128,88.50452888313056,70.1551604975411,79.32984469033583
3,legacy_dev,C_PCA_SHUFFLED,128,88.49934335610453,70.14658379603216,79.32296357606835
3,legacy_dev,C_PCA_REGION,128,88.49060879988237,71.30392586124164,79.897267330562
3,p1_extension_dev,C,128,89.4940243700478,70.36891360653243,79.9314689882901
3,p1_extension_dev,C_PER256,128,85.23590991056551,69.07782054900798,77.15686522978675
3,p1_extension_dev,C_SENS,128,89.4940243700478,70.36891360653243,79.9314689882901
3,p1_extension_dev,C_PCA_GLOBAL,128,89.50845306567523,70.19956885402826,79.85401095985173
3,p1_extension_dev,C_PCA_SHUFFLED,128,89.5036911481773,70.19382939249135,79.84876027033431
