job,arm,order,records,worker_seconds,host_seconds,pipeline_seconds,peak_allocated_bytes,peak_bank_state_bytes,peak_context_tensor_bytes,peak_slots,context_created,context_switches,context_overflows,context_load_seconds,network_forwards,loss_backward_calls,jacobian_vjp_calls,adam_calls,actual_parameter_replacements
o0a0,C,0,1951,1305.439153505955,1150.545979868155,1301.8137174102012,615037952,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a1,RP,0,1951,1320.3549901880324,1167.0590630986262,1316.5437267913949,667991040,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a2,T_LR,0,1951,1444.7619222148787,1293.2486687791534,1441.4672064385377,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o0a3,T_ISO,0,1951,1412.1025748790707,1258.0027196868323,1408.68623247114,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o0a5,U_PCA,0,1951,1578.9130245589186,1425.374116428662,1574.8704375063535,832226304,77056,0,0,0,0,0,0.0,15608,1951,15470,1951,1935
o0a4,T_DIAG,0,1951,1416.8745570520405,1258.195575907128,1413.2812026606407,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o0a6,U_RAND,0,1951,1582.462234265171,1430.9474234865047,1579.0245081004687,832226304,77056,0,0,0,0,0,0.0,15608,1951,15472,1951,1935
o0a7,U_SCALE,0,1951,1573.5378462190274,1421.9903004253283,1570.0590485876892,832226304,77056,0,0,0,0,0,0.0,15608,1951,15472,1951,1935
o0a8,S_JOINT,0,1951,1419.5576816359535,1267.99535248545,1416.0556545006111,723890688,77056,999128,3,3,301,36,7.0857763616368175,17559,1951,0,1951,302
o0a9,S_SHARED,0,1951,1414.7710577859543,1262.2156227505766,1411.2293814525474,723890688,77056,309248,3,3,301,36,0.5514488010667264,17559,1951,0,1951,0
o0a10,S_NOPCA,0,1951,1407.0766267240979,1252.380974401487,1403.4176642345265,673297920,77056,999128,3,3,301,36,7.7282485794276,17559,1951,0,1951,302
o0a11,M_TRANSPORT,0,1951,1301.7468605339527,1148.3816521081608,1298.1180458751041,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a12,M_IDPOST,0,1951,1299.729520983994,1143.0830622084904,1295.9706001556478,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a13,M_SHUFFLE,0,1951,1300.7444658421446,1144.36873474624,1297.0116014066152,632991232,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a14,G_PCA,0,1951,1360.1361422019545,1207.411785758799,1356.6205762482714,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a15,G_ISO,0,1951,1358.3088139591273,1205.1373992708977,1354.4576055789366,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o0a16,G_ORDER,0,1951,1298.0770478658378,1144.3714528190903,1294.609055744484,584364544,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a0,C,1,1951,1284.576314480044,1128.4122032027226,1280.6698459219187,617135104,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a1,RP,1,1951,1349.6488952529617,1193.109933210304,1345.572341792751,667991040,0,0,0,0,0,0,0.0,15608,1951,0,1951,0
o1a2,T_LR,1,1951,1438.1423570101615,1284.4866250650957,1434.4195059323683,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o1a3,T_ISO,1,1951,1435.9304087150376,1282.3424806299154,1432.1858454202302,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o1a4,T_DIAG,1,1951,1404.7335403161123,1250.300581555115,1400.9067136857193,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o1a5,U_PCA,1,1951,1547.9240940799937,1393.1212826750707,1544.122688199859,832226304,77056,0,0,0,0,0,0.0,15608,1951,15462,1951,1935
o1a6,U_RAND,1,1951,1574.9070420558564,1422.2755550197326,1571.173603235511,832226304,77056,0,0,0,0,0,0.0,15608,1951,15462,1951,1935
