arm,scope,key,n,mean
T_LR,primary,r3.teacher.density_seconds,7804,0.00799770742844669
T_LR,primary,r3.teacher.max_abs_logit_correction,7804,1.9835981547924142
T_LR,primary,r3.teacher.mean_abs_logit_correction,7804,1.3902943146510358
T_LR,primary,r3.teacher.nonzero_grid_fraction,7804,0.9779531380141594
T_LR,primary,r3.teacher.pair_ready.0,7804,0.9917990773962071
T_LR,primary,r3.teacher.pair_ready.1,7804,0.9910302409021015
T_LR,secondary,r3.teacher.density_seconds,1951,0.007980152893943215
T_LR,secondary,r3.teacher.max_abs_logit_correction,1951,1.9835981547924142
T_LR,secondary,r3.teacher.mean_abs_logit_correction,1951,1.3551778331636777
T_LR,secondary,r3.teacher.nonzero_grid_fraction,1951,0.989205505590082
T_LR,secondary,r3.teacher.pair_ready.0,1951,0.9917990773962071
T_LR,secondary,r3.teacher.pair_ready.1,1951,0.9917990773962071
U_PCA,primary,r3.update.actual_parameter_replacements,7804,0.9917990773962071
U_PCA,primary,r3.update.actual_post_probe_difference_l2,7740,0.00013544835155145042
U_PCA,primary,r3.update.applied_linear_probe_norm,7804,0.0001977873830849462
U_PCA,primary,r3.update.applied_norm,7804,0.0029622252618559147
U_PCA,primary,r3.update.base_norm,7804,0.002992699503891853
U_PCA,primary,r3.update.cosine,7804,0.9959960194683755
U_PCA,primary,r3.update.jacobian_vjp_calls,7804,7.919528446950282
U_PCA,primary,r3.update.new_norm,7804,0.0029622226514490727
U_PCA,primary,r3.update.parameter_dim,7804,19136.0
U_PCA,primary,r3.update.probe_after,7740,0.00019942221274644634
U_PCA,primary,r3.update.probe_before,7740,0.0005321854989392133
U_PCA,primary,r3.update.ratio,7804,0.9909855742334446
U_PCA,primary,r3.update.rows,7804,7.919528446950282
U_PCA,secondary,r3.update.actual_parameter_replacements,1951,0.9917990773962071
U_PCA,secondary,r3.update.actual_post_probe_difference_l2,1935,0.00013724403056443145
U_PCA,secondary,r3.update.applied_linear_probe_norm,1951,0.00019464213796339957
U_PCA,secondary,r3.update.applied_norm,1951,0.0028285149537338556
U_PCA,secondary,r3.update.base_norm,1951,0.0028600285766520314
U_PCA,secondary,r3.update.cosine,1951,0.9956512577304283
U_PCA,secondary,r3.update.jacobian_vjp_calls,1951,7.9210661199384935
U_PCA,secondary,r3.update.new_norm,1951,0.0028285122138368163
U_PCA,secondary,r3.update.parameter_dim,1951,19136.0
U_PCA,secondary,r3.update.probe_after,1935,0.00019625089220854397
U_PCA,secondary,r3.update.probe_before,1935,0.0005299329527031662
U_PCA,secondary,r3.update.ratio,1951,0.9903305816444837
U_PCA,secondary,r3.update.rows,1951,7.9210661199384935
M_TRANSPORT,primary,r3.transport.distinct_positions,7804,108.93554587391081
M_TRANSPORT,primary,r3.transport.fit_after,7804,1.5962431282769942e-06
M_TRANSPORT,primary,r3.transport.fit_before,7804,2.0221168710416054e-06
M_TRANSPORT,primary,r3.transport.frame_version,7804,976.0
M_TRANSPORT,primary,r3.transport.identity_policy,7804,0.0
M_TRANSPORT,primary,r3.transport.insufficient_support,7804,0.0
M_TRANSPORT,primary,r3.transport.orthogonal_error,7804,1.0450438672793955e-14
M_TRANSPORT,primary,r3.transport.paired_tokens,7804,118.26678626345463
M_TRANSPORT,primary,r3.transport.rotation_from_identity,7804,0.0009512033643118681
M_TRANSPORT,primary,r3.transport.shuffled_positions,7804,0.0
M_TRANSPORT,primary,r3.transport.svd_seconds,7804,0.0005915416386107346
M_TRANSPORT,primary,r3.transport.transport_seconds,7804,0.0033740293281606334
M_TRANSPORT,secondary,r3.transport.distinct_positions,1951,109.59456688877499
M_TRANSPORT,secondary,r3.transport.fit_after,1951,1.5423885892431775e-06
M_TRANSPORT,secondary,r3.transport.fit_before,1951,2.0575724890213148e-06
M_TRANSPORT,secondary,r3.transport.frame_version,1951,976.0
M_TRANSPORT,secondary,r3.transport.identity_policy,1951,0.0
M_TRANSPORT,secondary,r3.transport.insufficient_support,1951,0.0
M_TRANSPORT,secondary,r3.transport.orthogonal_error,1951,1.0493641250096423e-14
M_TRANSPORT,secondary,r3.transport.paired_tokens,1951,119.32752434648899
M_TRANSPORT,secondary,r3.transport.rotation_from_identity,1951,0.0009396821682099773
M_TRANSPORT,secondary,r3.transport.shuffled_positions,1951,0.0
M_TRANSPORT,secondary,r3.transport.svd_seconds,1951,0.0005932220137047499
M_TRANSPORT,secondary,r3.transport.transport_seconds,1951,0.003337529257702704
G_PCA,primary,r3.graph.active_edges,7734,1984.0
G_PCA,primary,r3.graph.correction_fraction,7734,0.967463959456415
G_PCA,primary,r3.graph.edge_weight_max,7734,0.9906614360002705
G_PCA,primary,r3.graph.edge_weight_mean,7734,0.34429385707289284
G_PCA,primary,r3.graph.edge_weight_min,7734,0.0014319042750480886
G_PCA,primary,r3.graph.edges,7804,1966.2039979497692
G_PCA,primary,r3.graph.energy_after,7734,2.8639511891652085
G_PCA,primary,r3.graph.energy_before,7734,2.9677785052698473
G_PCA,primary,r3.graph.graph_seconds,7804,0.022754958925767777
G_PCA,primary,r3.graph.iterations,7804,31.712967708867247
G_PCA,primary,r3.graph.ready,7804,0.9910302409021015
G_PCA,primary,r3.graph.teacher_violations_after,7734,0.0
G_PCA,primary,r3.graph.teacher_violations_before,7734,177.61688647530386
G_PCA,secondary,r3.graph.active_edges,1935,1984.0
G_PCA,secondary,r3.graph.correction_fraction,1935,0.9658610538610808
G_PCA,secondary,r3.graph.edge_weight_max,1935,0.9909172929428901
G_PCA,secondary,r3.graph.edge_weight_mean,1935,0.34344915070647636
G_PCA,secondary,r3.graph.edge_weight_min,1935,0.001499432642187475
G_PCA,secondary,r3.graph.edges,1951,1967.7293695540748
G_PCA,secondary,r3.graph.energy_after,1935,3.0465295798315157
G_PCA,secondary,r3.graph.energy_before,1935,3.155155873477792
G_PCA,secondary,r3.graph.graph_seconds,1951,0.027211106539718703
G_PCA,secondary,r3.graph.iterations,1951,31.737570476678627
G_PCA,secondary,r3.graph.ready,1951,0.9917990773962071
G_PCA,secondary,r3.graph.teacher_violations_after,1935,0.0
G_PCA,secondary,r3.graph.teacher_violations_before,1935,183.6950904392765
