arm,mean_minutes,mean_host_ms,peak_allocated_MiB
C,21.278406233530646,555.0656696683658,588.5458984375
RP,21.91571692540931,574.7965639085724,637.0458984375
MT,21.7571841334148,565.5368321885745,639.70556640625
MT_RP,27.424485394253086,739.5280706779511,689.83056640625
FT,21.85555137639555,569.2886454293572,639.70556640625
FT_RP,23.761451003063314,627.0307990050479,689.83056640625
KDG,25.59135798978076,685.1512149187317,569.67041015625
K_ALL,25.992500871406712,698.0392111369148,570.69677734375
K_MAG,21.69627730146671,565.301060560243,561.39306640625
K_FREE,25.01503934448352,666.5079857022723,561.4072265625
G_BOUND,28.538015552309034,745.934203359633,552.96923828125
G_CONST,25.38626607550541,648.4040226854158,552.96923828125
G_SHUFFLE,26.44754627907571,681.5664870168742,552.96923828125
G_GLOBAL,28.23483195501069,736.4097396521875,552.96923828125
