job,arm,order,records,worker_seconds,host_seconds,pipeline_seconds,peak_allocated_bytes,network_forwards,loss_backward_calls,adam_calls,jacobian_vjp_calls,actual_parameter_replacements
o0a0,C,0,1951,1289.1178038259968,1094.9365784765687,1285.2694560645614,617135104,15608,1951,1951,0,0
o0a1,RP,0,1951,1349.683180974098,1160.0485875639133,1345.7156434250064,667991040,15608,1951,1951,0,0
o0a2,MT,0,1951,1328.5807197159156,1126.2335411959793,1314.6011708488222,670779904,15608,1951,1951,0,0
o0a3,MT_RP,0,1951,1416.0802178420126,1213.6408061140683,1403.6741182352416,723339776,17559,1951,1951,0,0
o0a5,FT_RP,0,1951,1436.8412036700174,1238.03668052773,1423.7521210417617,723339776,17559,1951,1951,0,0
o0a4,FT,0,1951,1314.9739785639104,1117.898963140091,1301.4058399004862,670779904,15608,1951,1951,0,0
o0a7,K_ALL,0,1951,1367.822352299001,1173.1527298216242,1354.4392256671563,598418944,15608,1951,1951,0,0
o0a6,KDG,0,1951,1317.5681388420053,1119.4852287713438,1303.7350687005091,597342720,15608,1951,1951,0,0
o0a8,K_MAG,0,1951,1328.2639367941301,1131.2874169717543,1314.3114155458752,588663296,15608,1951,1951,0,0
o0a9,K_FREE,0,1951,1270.4076792909764,1073.995829060208,1256.5395936137065,588678144,15608,1951,1951,0,0
o0a10,G_BOUND,0,1951,1516.6489892618265,1259.6812709169462,1498.521068827482,579830272,15608,1951,1951,0,0
o0a11,G_CONST,0,1951,1527.1326326369308,1266.7673095539212,1507.4838878745213,579830272,15608,1951,1951,0,0
o0a12,G_SHUFFLE,0,1951,1502.4750721058808,1250.2254949063063,1482.9563875866588,579830272,15608,1951,1951,0,0
o0a13,G_GLOBAL,0,1951,1515.3412688481621,1257.1004897877574,1497.363287924556,579830272,15608,1951,1951,0,0
o1a1,RP,1,1951,1277.760911959922,1082.8999891453423,1273.127736674156,667991040,15608,1951,1951,0,0
o1a2,MT,1,1951,1277.9189888238907,1077.5182277313434,1263.2818667297252,670779904,15608,1951,1951,0,0
o1a4,FT,1,1951,1303.0842089708894,1087.9640862417873,1286.9717533730436,670779904,15608,1951,1951,0,0
o1a0,C,1,1951,1264.7718939362094,1071.4008677119855,1259.295578412246,615037952,15608,1951,1951,0,0
o1a5,FT_RP,1,1951,1416.566931665875,1211.091441477416,1402.391291316133,723339776,17559,1951,1951,0,0
o1a7,K_ALL,1,1951,1323.859545622021,1123.2614865514915,1310.0865564688575,598418944,15608,1951,1951,0,0
o1a3,MT_RP,1,1951,1405.351363977883,1199.117176270811,1391.6835024245083,723339776,17559,1951,1951,0,0
o1a8,K_MAG,1,1951,1291.2093895769212,1084.3396888773423,1275.8340010708198,588663296,15608,1951,1951,0,0
o1a10,G_BOUND,1,1951,1508.3091877989937,1254.1849900549278,1488.5082524756435,579830272,15608,1951,1951,0,0
o1a6,KDG,1,1951,1319.457628257107,1114.3578081976157,1304.7138553012628,597342720,15608,1951,1951,0,0
o1a11,G_CONST,1,1951,1503.6785822338425,1238.5702884157654,1483.2417352430057,579830272,15608,1951,1951,0,0
o1a13,G_GLOBAL,1,1951,1520.4846632150002,1260.1823880742304,1501.947692826856,579830272,15608,1951,1951,0,0
o1a9,K_FREE,1,1951,1296.5237757540308,1091.5957854902372,1280.9763894311618,588678144,15608,1951,1951,0,0
o2a1,RP,2,1951,1285.4998602638952,1090.8337273038924,1279.1168348884676,667859968,15608,1951,1951,0,0
o1a12,G_SHUFFLE,1,1951,1550.7297067029867,1282.4052007168066,1528.3320655806456,579830272,15608,1951,1951,0,0
o2a0,C,2,1951,1260.3538958400022,1065.777205413673,1254.0016033165157,615037952,15608,1951,1951,0,0
o2a4,FT,2,1951,1273.330202925019,1073.0789656441193,1258.0733614917845,670779904,15608,1951,1951,0,0
o2a3,MT_RP,2,1951,1399.5029438980855,1196.1873318480793,1384.469591916306,723339776,17559,1951,1951,0,0
o2a2,MT,2,1951,1309.459788335953,1101.4616090077907,1293.0973783486988,670779904,15608,1951,1951,0,0
o2a7,K_ALL,2,1951,1316.621515410021,1116.200598041527,1301.120454204036,598418944,15608,1951,1951,0,0
o2a5,FT_RP,2,1951,1426.8386051349808,1218.7195909288712,1411.0139739739243,723339776,17559,1951,1951,0,0
o2a6,KDG,2,1951,1318.3971321100835,1117.3029414585326,1302.0382377167698,597342720,15608,1951,1951,0,0
o2a10,G_BOUND,2,1951,1522.8299728929996,1255.7872655526735,1501.9373193932697,579830272,15608,1951,1951,0,0
o2a9,K_FREE,2,1951,1304.2531986169051,1094.9796798964962,1287.4786099479534,588678144,15608,1951,1951,0,0
o2a8,K_MAG,2,1951,1288.1614113049582,1087.411734735826,1272.4625132977962,588663296,15608,1951,1951,0,0
o2a13,G_GLOBAL,2,1951,1505.5132166619878,1248.2943210268859,1498.2681670875754,579830272,15608,1951,1951,0,0
o2a12,G_SHUFFLE,2,1951,1564.7462410680018,1305.3593045391608,1542.2044666477013,579830272,15608,1951,1951,0,0
o2a11,G_CONST,2,1951,1585.14978995407,1323.5952505024616,1563.1489114570431,579830272,15608,1951,1951,0,0
o3a0,C,3,1951,1274.975187673932,1078.6493767674547,1267.6942970457021,615037952,15608,1951,1951,0,0
o3a2,MT,3,1951,1308.0199526988436,1105.5365746703465,1291.5071181966923,670779904,15608,1951,1951,0,0
o3a1,RP,3,1951,1336.1921433359385,1137.9168318829034,1329.3473671511747,667991040,15608,1951,1951,0,0
o3a3,MT_RP,3,1951,1447.7745303369593,1247.3402388340328,1433.610668281559,723339776,17559,1951,1951,0,0
o3a5,FT_RP,3,1951,1414.2822838290595,1213.408155150013,1399.9800284274388,723339776,17559,1951,1951,0,0
o3a4,FT,3,1951,1302.4076601588167,1107.9217101272661,1288.4314117662143,670779904,15608,1951,1951,0,0
o3a6,KDG,3,1951,1303.497335291002,1106.8240815489553,1288.7087912389543,597342720,15608,1951,1951,0,0
o3a8,K_MAG,3,1951,1273.0012572060805,1078.697580596665,1258.5283570054453,588663296,15608,1951,1951,0,0
o3a7,K_ALL,3,1951,1354.50962230796,1157.870562328957,1339.945853778161,598418944,15608,1951,1951,0,0
o3a9,K_FREE,3,1951,1292.9151170870755,1094.8860373478383,1278.1127612127457,588678144,15608,1951,1951,0,0
o3a11,G_CONST,3,1951,1411.888185193995,1161.574652473908,1392.6830921268556,579830272,15608,1951,1951,0,0
