order,scope,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
0,pooled,RP-C,OD,1695,-0.15421685825079265,-0.09356003068479168,-0.49430016179260683,0.078320069841984,472,22,1201,-1.4863732234092208,-0.6263479025686445,170,1695,0,0,0,0.10553483829089728,0.05897368857306162,0.8480484289774826
0,pooled,RP-C,OC,1695,-0.23222283448619882,-0.14855741537438405,-1.2673217293379946,0.8716340852587972,707,21,967,-2.784032921537394,-1.4941957803318453,170,1695,0,0,0,0.19874490496499622,0.13667921452648812,1.2402217526834634
0,pooled,RP-C,macro,1695,-0.19321984636849587,-0.08661925882116339,-0.869732063879225,0.42786205853262294,699,19,977,-1.3925322006779983,-1.009058443682984,170,,,,,,,
0,pooled,MT-C,OD,1695,0.4790888219423673,-0.13520233241008928,-4.02912863400533,5.4123111844361,788,5,902,-13.316018922734262,-5.927692555079264,170,1695,0,0,0,-0.5394048804812476,0.04939185239410193,6.471421058012605
0,pooled,MT-C,OC,1695,0.2613115256911186,0.432376086080255,-4.688382963285405,4.267908234672848,960,9,726,-21.92166544265505,-7.998523463530336,170,1695,0,0,0,-0.4206869282324209,-0.2796396092851303,4.14554728074611
0,pooled,MT-C,macro,1695,0.3702001738167431,0.04047676276291989,-4.272910823021681,4.72978469842905,872,5,818,-15.30329489758685,-6.791115119082483,170,,,,,,,
0,pooled,MT_RP-C,OD,1695,0.39533307989835437,-0.12921173196527302,-4.057021589838145,5.181300697827229,782,6,907,-13.313080554405632,-5.931594523974009,170,1695,0,0,0,-0.4838926596774248,0.05166263083837919,6.355629746612583
0,pooled,MT_RP-C,OC,1695,0.046152104802924095,0.43065711212617597,-3.785185180590094,2.951963601617327,987,12,696,-20.91402864473334,-7.305414772577103,170,1695,0,0,0,-0.25802519594689743,-0.3137501076231146,3.878095769783424
0,pooled,MT_RP-C,macro,1695,0.2207425923506393,0.002815055749827433,-3.7991909720852934,3.920350196564979,856,5,834,-14.805805273507321,-6.460202051122802,170,,,,,,,
0,pooled,FT-C,OD,1695,0.17597752124090724,-0.38612475656653045,-9.59190253711055,11.05186778315031,740,5,950,-33.47819138564865,-14.826187318019096,170,1695,0,0,0,0.7377675795060982,0.5265456522419019,17.95026213045994
0,pooled,FT-C,OC,1695,-0.07515829852123168,0.34026915247696854,-13.119008093573077,10.756128918233054,900,9,786,-65.05670917284043,-21.91795881403679,170,1695,0,0,0,-0.5349705291993656,-0.23608144915787044,11.32820235419767
0,pooled,FT-C,macro,1695,0.05040961135983764,-0.006455009596451067,-10.971230039679387,10.463666974784468,835,5,855,-49.0613943123635,-17.933951378955847,170,,,,,,,
0,pooled,FT_RP-C,OD,1695,0.1613624659111464,-0.39669341534802616,-9.623725927706639,11.046462498281022,740,6,949,-33.431387780336244,-14.877834128163382,170,1695,0,0,0,0.7948539615567715,0.5722926248112818,17.839568800131456
0,pooled,FT_RP-C,OC,1695,-0.1062340629527498,0.3597378764763737,-11.523394766555905,9.731637967288194,909,10,776,-63.9491749052128,-21.169589808652546,170,1695,0,0,0,-0.43317192162012225,-0.20797610544705325,11.098305533365554
0,pooled,FT_RP-C,macro,1695,0.02756420147919695,-0.005144307669058268,-10.135614803573404,9.969880560527226,834,5,856,-48.46139676780615,-17.582342144998538,170,,,,,,,
0,pooled,KDG-C,OD,1695,-0.005710775269281641,-0.00490786552908018,-0.28743823508793787,0.2623161076878723,824,4,867,-0.6457829443293428,-0.3804446496565313,170,1695,0,0,0,0.017168486606233345,0.0001723660809638261,0.7410446217409961
0,pooled,KDG-C,OC,1695,-0.056002985595957774,-0.0835374298737368,-0.35110699378447796,0.2802884470029546,622,5,1068,-0.8136577342208184,-0.45242688740370174,170,1695,0,0,0,0.04044406954562148,0.036684814091927365,0.41538049419157874
0,pooled,KDG-C,macro,1695,-0.030856880432619766,-0.03217757218445527,-0.299255810832455,0.25988814068087296,713,0,982,-0.603319249879275,-0.3628919473265816,170,,,,,,,
0,pooled,K_ALL-C,OD,1695,-0.052924688237880525,-0.01198896730023602,-0.4192986942430643,0.2522688381476402,789,11,895,-0.8882922378860569,-0.5087790538746934,170,1695,0,0,0,0.06253595330340021,0.012226522223395264,0.8251256624236586
0,pooled,K_ALL-C,OC,1695,-0.06004421120465439,-0.07801921905905562,-0.37447107115020306,0.2773717399483468,627,6,1062,-0.7679947903616924,-0.4613045273337038,170,1695,0,0,0,0.0460036332157932,0.03722833645620671,0.4308905903330012
0,pooled,K_ALL-C,macro,1695,-0.05648444972126742,-0.03461656606771335,-0.37076968617310024,0.2563019634510004,714,1,980,-0.6988244515454767,-0.4406717260242005,170,,,,,,,
0,pooled,K_MAG-C,OD,1695,0.007149113065299333,0.0016515073208323017,-0.020339414011893986,0.03542288548279872,886,78,731,-0.17776737120910324,-0.03342422715995392,170,1695,0,0,0,-0.010913839216415495,-0.0007913238442505133,0.12743341147394838
0,pooled,K_MAG-C,OC,1695,0.0004615651108294424,0.0,-0.03326783560179791,0.031555468363353455,753,158,784,-0.1594754430787937,-0.05506469203289673,170,1695,0,0,0,0.0009394929597574972,0.0,0.09264042864881931
0,pooled,K_MAG-C,macro,1695,0.0038053390880644017,0.0010643240744734328,-0.021836791918201648,0.03101213010511252,902,29,764,-0.11202804313974468,-0.03556062473560283,170,,,,,,,
0,pooled,K_FREE-C,OD,1695,0.070465224990739,0.030129565966696692,-0.017940156758351478,0.19818520985375626,1280,14,401,-0.16074061239316206,-0.0474973600222398,170,1695,0,0,0,-0.09195879837698707,-0.02575358248861903,0.20207618017020362
0,pooled,K_FREE-C,OC,1695,0.008686469775751677,0.0,-0.09844347437670375,0.1139921274179013,847,40,808,-0.44290066283316776,-0.16558796655876162,170,1695,0,0,0,-0.0006905485665471219,0.0006165909620250432,0.22500053091561312
0,pooled,K_FREE-C,macro,1695,0.03957584738324538,0.021679630151993923,-0.02873241581627939,0.12661625390938852,1191,0,504,-0.21640695454413494,-0.061344123628660784,170,,,,,,,
0,pooled,G_BOUND-C,OD,1695,-0.001368405993219547,-0.0020250656358022923,-0.15019303618390323,0.14232025338916335,820,7,868,-0.5304485096565448,-0.23430829608456308,170,1695,0,0,0,0.0025053490754559315,0.0010723535838419451,0.3949251882598152
0,pooled,G_BOUND-C,OC,1695,0.1537381931312737,0.060107437555445564,-0.5139159327581155,0.8700179704684909,957,5,733,-2.817155788501063,-0.9186889526827977,170,1695,0,0,0,-0.13830466298365166,-0.04822764913989008,0.6401335625839261
0,pooled,G_BOUND-C,macro,1695,0.07618489356902713,0.06338502594844808,-0.2949281880788024,0.4605623955552086,1017,0,678,-1.5478493571201013,-0.5153084773433343,170,,,,,,,
0,pooled,G_CONST-C,OD,1695,0.009767774833013897,0.023597415930620702,-0.24593724982191034,0.221094104734454,933,3,759,-0.6359140488324866,-0.341601195749987,170,1695,0,0,0,-0.022959045419757195,-0.012940324193974728,0.45688621978676836
0,pooled,G_CONST-C,OC,1695,0.16702273306965176,0.0653092752577189,-0.44022497179416753,0.7997699861926445,1002,3,690,-2.2875039078021517,-0.8457463338902615,170,1695,0,0,0,-0.13816316266046613,-0.048795740860786196,0.5903292287829347
0,pooled,G_CONST-C,macro,1695,0.08839525395133285,0.054881368142145615,-0.3143401995383788,0.4869061790933649,1009,0,686,-1.349426696112388,-0.5523208316743661,170,,,,,,,
0,pooled,G_SHUFFLE-C,OD,1695,0.019172180852710385,0.03207210554428963,-0.23497722662913834,0.23022686182412108,953,4,738,-0.6473139231795932,-0.33300975121009435,170,1695,0,0,0,-0.03451152817673197,-0.020443506977771975,0.4405730166899534
0,pooled,G_SHUFFLE-C,OC,1695,0.1698292789215147,0.06565525293230623,-0.44563064458827073,0.8070377477369695,998,5,692,-2.2611093375840383,-0.8473657900184582,170,1695,0,0,0,-0.14065203417673885,-0.051877891761874295,0.5893067253506724
0,pooled,G_SHUFFLE-C,macro,1695,0.09450072988711253,0.05569724987247726,-0.31286336063507614,0.5006331270744413,1017,0,678,-1.3389101625540745,-0.5535769257642557,170,,,,,,,
0,pooled,G_GLOBAL-C,OD,1695,0.05311363465796794,0.05403304037381318,-0.17467360879095617,0.27032613438683795,1028,3,664,-0.5675599997784331,-0.27370396198129454,170,1695,0,0,0,-0.06274936837075655,-0.03372085905409339,0.37762052032610793
0,pooled,G_GLOBAL-C,OC,1695,0.19127081275630456,0.07815511551464427,-0.594685055411921,1.017233192227569,975,6,714,-2.82474662029627,-1.0302571107195768,170,1695,0,0,0,-0.1678140953440036,-0.06373353626613998,0.7142494457313653
0,pooled,G_GLOBAL-C,macro,1695,0.12219222370713619,0.06938346277465257,-0.3654794520802951,0.6346972248715121,1016,0,679,-1.6362820617952578,-0.614374593790994,170,,,,,,,
0,pooled,MT_RP-MT,OD,1695,-0.08375574204401304,-0.06543894561391594,-0.2724067983671219,0.05985295350193327,487,28,1180,-1.2125764521378368,-0.3730480105850719,170,1695,0,0,0,0.055512220803822544,0.03703516574969257,0.6598644160103522
0,pooled,MT_RP-MT,OC,1695,-0.21515942088819442,-0.10391984198401816,-1.444956742338812,1.0292476172278426,755,20,920,-3.1985565554472184,-1.6517250201235898,170,1695,0,0,0,0.16266173228552336,0.1036520981919864,1.2734896720929838
0,pooled,MT_RP-MT,macro,1695,-0.1494575814661037,-0.052513124200859185,-0.8354520366771045,0.5019583997002287,749,17,929,-1.514779136016764,-0.9483519941265266,170,,,,,,,
0,pooled,FT_RP-FT,OD,1695,-0.014615055329761088,-0.008700906139247344,-0.17202462246861616,0.12730687378043076,718,32,945,-0.95050713663557,-0.27213119342225467,170,1695,0,0,0,0.057086382050672645,0.016598373428672986,1.1428076330531918
0,pooled,FT_RP-FT,OC,1695,-0.031075764431518584,0.0,-1.1319143388882802,1.0363020290099425,843,21,831,-2.23354808140388,-1.3953465652437405,170,1695,0,0,0,0.10179860757924301,0.07214759068396415,1.1132496770331088
