contrast,control,domain,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
1-0,C,ALL,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2.6547004546590847,0.6871197079863407,-1.960824735255801,9.418326474109723,-4.556076149052942,-2.673354998928893,170,1002,693,0,1.0,1.1145921578894733,1.1145921578894733,1.9192671879875485,-0.8046750300980752,0.5572960789447367,,
1-0,C,ALL,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.004257751416096742,0.004074911565993489,-0.02497024686592795,0.0360947833854482,-0.48628567171222414,-0.07379067896525797,170,1009,686,0,1.0,0.004242658394122271,0.004242658394122271,0.012814420474133155,-0.008571762080010883,0.0021213291970611356,,
1-0,C,ALL,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2.6589582060751815,0.6662881798331028,-1.9715213854454674,9.460205830282627,-4.565232287520459,-2.667040540362364,170,1008,687,0,1.0,1.1188348162835957,1.1188348162835957,1.9222413477427387,-0.8034065314591432,0.5594174081417979,,
1-0,C,Drishti_GS,OD,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-1.470176852945183,-2.067974171154873,-2.8436466696670606,0.3357095454223638,-3.768736921464523,-3.3248559529912924,4,6,31,0,0.25,-1.470176852945183,-0.36754421323629577,0.05569527787197989,-0.4232394911082757,-0.18377210661814788,,
1-0,C,Drishti_GS,OD,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.0069737827519207015,0.0067263470073157805,-0.015616314559227362,0.028915388138190674,-0.027699247734148003,-0.020534705789199137,4,25,12,0,0.25,0.006973782751920702,0.0017434456879801756,0.0027386553830340684,-0.0009952096950538929,0.0008717228439900878,,
1-0,C,Drishti_GS,OD,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-1.4632030701932623,-2.0481429025293068,-2.8290617040431156,0.3662429930261651,-3.7604073266704034,-3.318556045902046,4,6,31,0,0.25,-1.4632030701932623,-0.3658007675483156,0.056348972997762155,-0.42214974054607773,-0.1829003837741578,,
1-0,C,ORIGA,OD,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.9259340162712025,-1.088319406078881,-2.7966296253260197,1.065855859001168,-4.386914401558371,-3.150878907933415,59,144,442,0,0.25,-0.9259340162712025,-0.23148350406780063,0.06784383144555559,-0.2993273355133562,-0.11574175203390032,,
1-0,C,ORIGA,OD,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0023590070732684093,0.0018420966665004812,-0.0237241634836991,0.0251348613792004,-0.3440950500695408,-0.0604100390013093,59,323,263,0,0.25,0.0023590070732684093,0.0005897517683171023,0.002899314268585624,-0.0023095625002685213,0.00029487588415855117,,
1-0,C,ORIGA,OD,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.9235750091979341,-1.08615015449638,-2.779538816873739,1.0698811524268947,-4.403718590315947,-3.1431811332649877,59,148,438,0,0.25,-0.9235750091979341,-0.23089375229948353,0.0679989132837264,-0.2988926655832099,-0.11544687614974176,,
1-0,C,REFUGE,OD,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.12953558792793887,-0.20180971166324468,-0.8169429265014685,0.6940213121627963,-1.504161027478176,-1.0137588224084992,34,120,216,0,0.25,-0.12953558792793887,-0.03238389698198472,0.04659337539149635,-0.07897727237348107,-0.01619194849099236,,
