OC,OD,dice,job,method,order,seed,worst_domain
0.6492586139786748,0.8292660057040346,0.7392623098413547,A_FULL_20260924_order0,A_FULL,0,20260924,0.6427136788247089
0.6488694809043662,0.8291137379127214,0.7389916094085438,A_FULL_20260924_order1,A_FULL,1,20260924,0.6426806332931878
0.6510559740638135,0.8313705684736785,0.741213271268746,A_FULL_20260925_order0,A_FULL,0,20260925,0.648653894680169
0.6505320293240978,0.8312160875785262,0.7408740584513119,A_FULL_20260925_order1,A_FULL,1,20260925,0.6486411037863355
0.6525665142959279,0.8287075268458808,0.7406370205709043,A_STATIC_20260924_order0,A_STATIC,0,20260924,0.6439726467624551
0.6525665142959279,0.8287075268458808,0.7406370205709043,A_STATIC_20260924_order1,A_STATIC,1,20260924,0.6439726467624551
0.6567248827579962,0.8305701190891636,0.7436475009235799,A_STATIC_20260925_order0,A_STATIC,0,20260925,0.6512162632494469
0.6567248827579962,0.8305701190891636,0.7436475009235799,A_STATIC_20260925_order1,A_STATIC,1,20260925,0.6512162632494469
0.6322710309051511,0.8282542878224608,0.730262659363806,B_FULL_20260924_order0,B_FULL,0,20260924,0.6222595826311647
0.6322884502432942,0.8282440104021875,0.7302662303227409,B_FULL_20260924_order1,B_FULL,1,20260924,0.6222422569419703
0.6389352150145918,0.8304883619677943,0.734711788491193,B_FULL_20260925_order0,B_FULL,0,20260925,0.6288781807401974
0.6389629389075049,0.8304854000852516,0.7347241694963783,B_FULL_20260925_order1,B_FULL,1,20260925,0.6288603727092417
0.636908156458035,0.829350140943923,0.733129148700979,B_STATIC_20260924_order0,B_STATIC,0,20260924,0.628299543722477
0.636908156458035,0.829350140943923,0.733129148700979,B_STATIC_20260924_order1,B_STATIC,1,20260924,0.628299543722477
0.6430993886744879,0.8310400541173373,0.7370697213959125,B_STATIC_20260925_order0,B_STATIC,0,20260925,0.6318582877125154
0.6430993886744879,0.8310400541173373,0.7370697213959125,B_STATIC_20260925_order1,B_STATIC,1,20260925,0.6318582877125154
0.668889896708093,0.8326985070507066,0.7507942018793998,C0_CURRENT_STATS_order0,C0_CURRENT_STATS,0,,0.6660414694175597
0.668889896708093,0.8326985070507066,0.7507942018793998,C0_CURRENT_STATS_order1,C0_CURRENT_STATS,1,,0.6660414694175597
0.6501225772144809,0.8352406804527834,0.7426816288336322,CURRENT_MLP_None_20260924_order0,CURRENT_MLP,0,20260924,0.6502935208733907
0.6501225772144809,0.8352406804527834,0.7426816288336322,CURRENT_MLP_None_20260924_order1,CURRENT_MLP,1,20260924,0.6502935208733907
0.6519491447695338,0.8373264232217227,0.7446377839956282,CURRENT_MLP_None_20260925_order0,CURRENT_MLP,0,20260925,0.6535536237785027
0.6519491447695338,0.8373264232217227,0.7446377839956282,CURRENT_MLP_None_20260925_order1,CURRENT_MLP,1,20260925,0.6535536237785027
0.7120994968026715,0.8699856266292116,0.7910425617159416,C_CTTA_FIXED_LR_20260907_order0,C_CTTA_FIXED_LR,0,20260907,0.690665057640012
0.6917600665280743,0.8683668941647339,0.780063480346404,C_CTTA_FIXED_LR_20260907_order1,C_CTTA_FIXED_LR,1,20260907,0.735005276291032
0.7141580212691193,0.8689455796009369,0.791551800435028,C_CTTA_FIXED_LR_20260908_order0,C_CTTA_FIXED_LR,0,20260908,0.7059673619731555
0.689936307444977,0.8674738054240051,0.7787050564344911,C_CTTA_FIXED_LR_20260908_order1,C_CTTA_FIXED_LR,1,20260908,0.730701802043918
0.6907338460975523,0.856708159473011,0.7737210027852817,G_CTTA_RELEASE_TRANSFER_20260907_order0,G_CTTA_RELEASE_TRANSFER,0,20260907,0.7363604200372028
0.6840045733833668,0.8577411347908019,0.7708728540870844,G_CTTA_RELEASE_TRANSFER_20260907_order1,G_CTTA_RELEASE_TRANSFER,1,20260907,0.7219370008383064
0.6914498043842426,0.856322098574142,0.7738859514791923,G_CTTA_RELEASE_TRANSFER_20260908_order0,G_CTTA_RELEASE_TRANSFER,0,20260908,0.7367677110154245
0.6852783242559319,0.8586086426502154,0.7719434834530736,G_CTTA_RELEASE_TRANSFER_20260908_order1,G_CTTA_RELEASE_TRANSFER,1,20260908,0.725195068551306
0.5767536707236914,0.7872579628985666,0.682005816811129,N_SOURCE_EVAL_order0,N_SOURCE_EVAL,0,,0.5315004242238575
0.5767536707236914,0.7872579628985666,0.682005816811129,N_SOURCE_EVAL_order1,N_SOURCE_EVAL,1,,0.5315004242238575
0.6688594368483998,0.832727377690474,0.7507934072694369,R7_C_FULL_order0,R7_C_FULL,0,,0.6660077109837335
0.6688610800130483,0.8327267938554359,0.7507939369342421,R7_C_FULL_order1,R7_C_FULL,1,,0.666007578625542
0.6688929047295595,0.8327124394366776,0.7508026720831186,R7_C_STATIC_order0,R7_C_STATIC,0,,0.6660577894145028
0.6688929047295595,0.8327124394366776,0.7508026720831186,R7_C_STATIC_order1,R7_C_STATIC,1,,0.6660577894145028
0.6588253405346771,0.8263602403620636,0.7425927904483703,VPTTA_NATIVE_20260907_order0,VPTTA_NATIVE,0,20260907,0.61880524280406
0.6611449032402539,0.8297139895274729,0.7454294463838633,VPTTA_NATIVE_20260907_order1,VPTTA_NATIVE,1,20260907,0.6090002188136896
0.6588253405346771,0.8263602403620636,0.7425927904483703,VPTTA_NATIVE_20260908_order0,VPTTA_NATIVE,0,20260908,0.61880524280406
0.6611449032402539,0.8297139895274729,0.7454294463838633,VPTTA_NATIVE_20260908_order1,VPTTA_NATIVE,1,20260908,0.6090002188136896
